scale,comparator,n,mae,rmse,icc2_1,icc2_1_ci_low,icc2_1_ci_high,bias,bias_ci_low,bias_ci_high,loa_low,loa_high,prop_slope,prop_p
global,expert_1,145,0.55487830986506,0.7679223516946275,0.8624541463459883,0.8117165271527668,0.899900364451813,0.16015247338504915,0.03644579422543211,0.2838591525446662,-1.3169815741212334,1.6372865208913319,-0.0347691338114133,0.43663774735714034
global,expert_2,142,0.5369845274012408,0.7463834435230141,0.8698598354667288,0.8220297336522591,0.9053087841491424,0.13948496395827137,0.017410537016433372,0.2615593909001094,-1.302741030214522,1.5817109581310647,-0.05055690391191615,0.25033122405113545
global,expert_3,145,0.5460062439608524,0.7718789508240367,0.8626156584804469,0.8124018268680762,0.8998336713494373,0.15420074924711807,0.029623887519781122,0.278777610974455,-1.333323814818638,1.641725313312874,-0.047096852459685555,0.292131153222684
global,expert_mean,145,0.5403562847221869,0.7544183007355235,0.8675424173148981,0.8186339755517031,0.9036216711573314,0.15512986802106446,0.03352166642876847,0.27673806961336045,-1.296947063057264,1.6072067990993928,-0.03732566220879939,0.3942950139070668
global,clinical_reference,145,0.5417368854322817,0.756073941628225,0.8677803156397891,0.8192897078989239,0.9036641215671318,0.15040304809769278,0.02835556987270725,0.2724505263226783,-1.3069191169067877,1.6077252131021733,-0.0440634904522359,0.31452289448067655
expert,expert_1,145,0.5739550145232597,0.8080288669981956,0.8465751564034292,0.792095110348769,0.8874969557577134,0.14591025876405833,0.015004035281120431,0.27681648224699623,-1.4171907884123551,1.709011305940472,-0.042178510349953575,0.3760601862998274
expert,expert_2,142,0.5551836335424781,0.778422596820231,0.8567615022314287,0.8056096031703829,0.8951820041738346,0.11974417652142262,-0.008311039357083091,0.24779939239992832,-1.3931407548768795,1.6326291079197248,-0.06292787365456312,0.17609468568737444
expert,expert_3,145,0.5736467815835173,0.8164397541524699,0.8451656363863551,0.7905561588390321,0.886312028217553,0.13995853462612726,0.007469683613940181,0.27244738563831433,-1.4420400613637854,1.7219571306160397,-0.05465858385008145,0.2539925785946929
expert,expert_mean,145,0.5612639694031825,0.7959035669727964,0.8514812436763285,0.7986620563592093,0.8911274400999984,0.14088765340007364,0.011861010389945303,0.269914296410202,-1.3997700436656104,1.6815453504657576,-0.044741563592685184,0.33943067058479093
expert,clinical_reference,145,0.5625174757832485,0.7990337014500435,0.8512441803239587,0.798558559885601,0.890865049354502,0.136160833476702,0.006473318596254801,0.2658483483571492,-1.4123880813253145,1.6847097482787183,-0.05155031080460614,0.27173012717176986
